symbol,control_1,control_2,control_3,Hoxa1KN_1,Hoxa1KN_2,Hoxa1KN_3
SLC7A5,12.5566,12.5113,12.5464,10.9796,11.1479,10.949
SLC7A6OS,8.4061,8.3677,8.3847,7.701,8.1428,8.1614
SLC7A7,6.0562,5.8449,5.6238,5.6041,5.8106,5.9334
SLC7A8,3.1705,3.5409,2.904,4.3928,4.1101,4.0214
SLC8A1,9.6787,9.7873,9.7993,8.6683,9.0053,8.598
SLC8B1,7.4847,7.5155,7.3981,7.6936,7.8248,7.7934
SLC9A1,10.7835,10.6266,10.695,10.7567,10.6634,10.7474
SLC9A3,6.2345,5.789,6.0975,8.5869,8.4313,8.6161
SLC9A3R1,7.6734,7.5495,7.7647,7.7083,7.8308,7.6946
SLC9A3R2,9.8682,9.902,9.9171,10.1565,10.1225,10.065
SLC9A4,2.7008,4.3484,2.904,3.6442,4.1101,4.0921
SLC9A5,6.9257,6.5467,6.7271,7.4523,7.1535,7.1733
SLC9A6,8.9566,8.9259,9.1689,8.6532,8.5564,8.601
SLC9A7,10.764,10.7515,10.7272,9.4884,9.6728,9.3591
SLC9A8,8.2006,7.9505,7.9891,8.5789,8.5159,8.7118
SLC9A9,5.9434,5.7309,5.4903,5.122,5.5142,5.3475
SLC9B2,7.9609,7.7235,7.8759,8.9296,8.7844,9.1409
SLCO2A1,5.54,5.0168,4.5874,6.149,5.8348,6.1478
SLCO3A1,7.9609,7.9757,8.0038,7.6561,7.5167,7.5324
SLCO4A1,5.3759,5.3224,5.0714,6.5761,5.8585,6.5507
SLF1,6.8805,6.8357,6.8191,6.4934,6.1935,6.2748
SLF2,9.5279,9.385,9.4317,9.6631,9.574,9.6459
SLFN11,9.5474,9.5889,9.4975,7.3432,7.6246,7.5824
SLFN12,8.4167,8.4953,8.4364,8.2161,8.4153,8.2019
SLFN13,4.427,5.2825,4.8276,3.3754,3.6473,3.6977
SLFN5,11.2072,11.1784,10.9815,11.4399,11.4433,11.4911
SLFNL1,3.808,3.5409,3.8536,3.972,4.4599,4.3447
SLIRP,8.7416,8.7506,8.7513,8.4445,8.3829,8.561
SLIT2,10.0647,10.0841,10.0676,7.4346,7.5463,7.3278
SLIT3,4.5086,4.5634,4.9136,6.0367,5.5728,5.5369
