User_ID sorted by SD,p53_mock_1,p53_mock_2,p53_mock_3,p53_mock_4,p53_IR_1,p53_IR_2,p53_IR_3,p53_IR_4,null_mock_1,null_mock_2,null_IR_1,null_IR_2
 ENSMUSG00000086670,5.4224,5.4086,5.172,5.0995,5.1287,4.7123,4.9565,5.0811,5.0716,4.9887,4.5181,4.965
 ENSMUSG00000004880,12.2189,12.1986,12.177,12.3153,11.71,11.7785,12.2468,12.2702,12.4162,12.4472,12.5838,12.0804
 ENSMUSG00000034484,13.5391,13.5105,13.5076,13.5413,13.0776,12.9073,13.2824,13.27,13.6667,13.8055,13.5354,13.2815
 ENSMUSG00000062825,14.1355,14.0093,14.0403,14.6118,13.9674,13.6923,14.3783,14.437,14.0511,14.2552,13.8965,14.1832
 ENSMUSG00000079659,12.0913,12.0453,12.0307,12.1614,11.6873,11.5235,12.0045,11.9966,12.2603,12.2531,12.4872,12.0005
 ENSMUSG00000020189,12.4468,12.514,12.5404,12.6529,12.2681,12.2869,12.4675,12.3494,12.5252,12.609,13.1933,12.8129
 ENSMUSG00000026457,11.566,11.3839,11.5731,11.6004,11.2074,10.9701,11.2355,11.3381,11.4437,11.973,11.6119,11.3971
 ENSMUSG00000030275,13.8612,13.989,13.9308,14.2082,13.5426,13.4933,13.9424,13.9416,14.1385,14.204,14.0211,13.5279
 ENSMUSG00000055745,9.7506,9.7676,9.6201,9.8556,9.5351,9.1135,9.6522,10.0984,9.7963,9.9647,9.5933,9.488
 ENSMUSG00000022177,8.6005,8.4967,8.4836,8.3778,8.0755,7.8484,8.4191,8.477,8.4673,8.557,8.8104,8.6168
